neighborhood,WHITE_2019,BLACK_2019,AMERIND_2019,ASIAN_2019,PACIFIC_2019,OTHRACE_2019,RACE2UP_2019,HISPPOP_2019,MINORITY_2019,WHITE_2010,BLACK_2010,AMERIND_2010,ASIAN_2010,PACIFIC_2010,OTHRACE_2010,RACE2UP_2010,HISPPOP_2010,MINORITY_2010,DIVINDX_2010,HISPWHT_2019,HISPBLK_2019,HISPAI_2019,HISPASN_2019,HISPPI_2019,HISPOTH_2019,HISPMLT_2019,HWHITE_2010,HBLACK_2010,HAMERIND_2010,HASIAN_2010,HPACIFIC_2010,HOTHRACE_2010,HRACE2UP_2010,HRACEBAS_2010,H1RACE_2010,HADRBASE_2010,HAD1RACE_2010,U18RBASE_2010,NONHISP_2019
A Mountain,1443,316,227,68,3,1236,155,2638,3164,1451,318,223,62,3,1137,148,2465,2990,87.6,1159,17,114,8,0,1226,114,1099,16,108,8,0,1125,109,2465,2356,1546,1486,1095,810
Adelanto,123,43,106,5,0,92,20,218,348,124,42,103,4,0,81,18,197,324,90,82,3,30,0,0,91,12,75,3,27,0,0,81,11,197,186,128,123,137,171
Alvernon Heights,186,31,7,7,1,67,21,201,246,185,29,7,6,1,57,19,177,219,80.5,113,4,2,2,0,67,13,100,4,2,2,0,57,12,177,164,109,103,97,119
Amphi,3967,612,314,469,26,1579,495,3898,5380,4229,602,307,425,24,1408,467,3539,4959,83.3,1883,79,121,5,6,1571,233,1727,71,114,5,6,1399,217,3539,3322,2284,2181,2030,3566
Armory Park,1411,66,61,41,3,229,113,776,958,1394,56,52,32,2,185,92,637,788,67.7,445,8,32,2,3,225,61,369,7,26,2,2,181,49,636,588,521,490,198,1148
Arroyo Chico,2060,107,78,66,7,511,180,1614,1900,2081,97,70,55,7,443,163,1420,1676,74.4,952,6,32,4,2,504,115,841,5,28,3,2,434,105,1418,1315,1048,986,572,1395
Avondale,1141,122,51,39,2,162,119,516,762,1121,105,41,31,2,126,96,407,613,66.6,266,9,32,4,0,158,46,212,7,25,4,0,121,37,406,370,276,261,299,1121
Balboa Heights,787,88,92,84,2,394,99,869,1147,747,78,78,63,2,313,81,699,933,84.5,388,9,30,0,1,393,47,317,7,24,0,1,311,38,698,661,457,437,349,677
Barrio Anita,207,10,29,6,0,98,21,231,267,231,10,29,5,0,92,21,221,256,81.7,102,3,12,0,0,97,17,99,3,12,0,0,91,16,221,205,150,144,95,140
Barrio Blue Moon,510,72,69,20,3,229,53,524,672,574,72,69,19,3,214,52,498,648,83.1,227,13,30,2,1,226,26,219,12,29,2,1,210,26,499,473,358,343,172,432
Barrio Centro,677,51,40,20,7,248,73,776,899,679,50,38,18,7,220,68,704,822,78.3,460,5,16,3,0,245,47,421,4,15,3,0,218,44,705,660,517,488,255,340
Barrio Hollywood,1373,35,154,18,3,910,118,2317,2447,1566,39,175,18,3,967,132,2516,2664,77.2,1209,19,81,1,1,909,97,1330,20,89,1,1,966,109,2516,2407,1821,1752,777,294
Barrio San Antonio,252,12,10,12,0,39,19,134,175,254,12,9,10,0,32,16,114,149,67.9,82,1,4,1,0,38,9,70,1,3,1,0,31,8,114,106,92,88,41,210
Barrio Santa Rosa,495,158,71,11,0,357,63,736,964,478,142,63,9,0,297,54,622,827,88,303,14,31,5,0,351,32,262,12,26,4,0,291,28,623,594,410,391,344,420
Barrio Viejo,585,19,25,9,0,131,52,408,461,580,17,21,7,0,105,43,334,379,71.3,224,2,19,0,0,131,31,186,2,16,0,0,104,27,335,307,260,243,112,414
Bear Canyon,2141,97,20,104,2,83,104,400,698,2215,83,17,81,2,67,86,325,572,41.2,288,6,4,2,0,78,22,235,5,4,2,0,61,18,325,307,211,203,563,2151
Blenman-Elm,2521,83,61,217,8,197,146,647,1072,2551,71,50,172,7,156,118,516,864,51.5,360,13,31,4,0,189,50,290,11,24,4,0,148,40,517,476,377,349,459,2586
Broadmoor-Broadway,685,18,21,26,0,93,32,324,388,691,16,18,21,0,74,27,266,319,62,199,1,11,2,0,93,19,164,1,9,2,0,74,16,266,250,203,194,139,551
Broadway/Northeast,561,26,9,16,1,41,37,166,236,569,22,8,13,1,33,31,134,193,51.7,105,2,1,1,0,39,18,85,2,1,1,0,30,15,134,119,86,82,131,526
Campbell-Grant,1077,35,22,39,1,69,49,294,411,1075,29,19,30,1,54,40,234,330,48.4,195,3,9,1,0,69,17,156,3,7,1,0,53,14,234,220,172,166,196,1000
Campus Farm,5079,389,171,289,19,1388,361,3086,4076,4889,325,144,218,15,1061,291,2403,3204,72.7,1459,44,57,8,1,1373,145,1150,36,47,7,1,1046,117,2404,2287,1655,1588,1238,4610
Catalina Vista,599,13,7,23,1,28,24,118,171,626,11,6,18,1,22,19,95,139,39.3,75,2,3,0,0,27,10,61,1,2,0,0,21,8,93,87,74,69,84,578
Catalina Vista/Blenman-Elm,74,3,1,5,0,3,3,16,26,74,2,1,4,0,3,3,12,20,44.6,10,1,0,0,0,3,1,8,0,0,0,0,3,1,12,11,9,8,10,75
Houghton South,3869,257,33,226,20,182,217,993,1615,2361,132,17,105,9,87,107,480,788,49.4,680,36,10,13,9,175,69,331,17,5,6,4,83,34,480,445,277,266,887,3811
Colonia Del Valle,1927,78,29,79,11,242,94,752,962,1799,64,25,58,9,179,71,566,732,58.7,430,7,11,2,4,242,56,326,5,9,2,3,179,42,566,524,389,367,433,1707
Corbett,4103,451,158,231,9,1233,379,3097,4017,4092,403,142,181,8,1018,325,2614,3402,77.2,1556,39,67,13,5,1231,186,1325,33,60,13,4,1016,163,2614,2451,1608,1538,1733,3467
Cottonwood Manor,238,3,6,5,2,42,13,117,134,252,3,5,4,2,35,12,100,114,63.1,63,0,3,1,1,42,7,54,0,3,1,1,35,6,100,93,65,62,61,193
Desert Palms Park,305,6,2,9,1,17,11,55,82,281,5,1,6,1,12,8,39,59,37.3,36,0,0,0,0,17,2,26,0,0,0,0,12,1,39,38,27,26,56,297
Dietz,5568,658,133,290,39,771,428,2357,3639,5495,559,111,223,34,605,348,1875,2937,65.1,1318,52,38,14,10,752,173,1057,41,30,12,8,586,141,1875,1733,1182,1127,1770,5531
Dodge Flower,1787,365,99,184,45,385,231,1028,1785,1772,311,83,140,37,301,189,821,1446,76.1,476,22,31,5,0,380,115,385,18,25,4,0,297,93,822,728,548,498,712,2068
Doolen-Fruitvale,1171,128,56,39,0,336,130,740,987,1247,119,54,34,0,299,114,657,882,75.4,297,19,22,2,0,332,67,263,17,20,2,0,295,59,656,598,420,379,448,1121
Drexel Park,1142,56,89,7,1,1023,110,2214,2310,1085,53,87,7,1,899,103,1999,2093,80.7,1024,18,50,4,1,1023,94,943,16,47,4,1,899,88,1998,1911,1231,1174,810,215
Duffy,884,81,13,46,1,94,88,318,505,859,70,11,34,1,73,70,249,402,61.1,182,1,0,3,0,94,37,143,1,0,3,0,72,30,249,219,173,162,198,889
Dunbar Spring,683,70,62,80,1,151,50,343,566,731,64,56,66,1,131,44,299,497,72.5,153,3,18,1,1,142,25,135,3,16,1,1,121,22,299,277,228,213,125,754
Eastside,3325,143,31,307,1,174,129,840,1379,3516,128,27,250,1,141,110,703,1157,48.6,594,3,21,6,0,173,43,500,3,18,5,0,140,37,703,666,460,444,974,3270
El Gheko,1490,69,24,33,3,109,75,428,587,1539,60,21,26,3,88,63,351,487,49.7,274,9,6,1,0,104,33,226,8,6,1,0,83,27,351,324,231,222,308,1376
El Conquistador,139,2,3,8,0,12,6,42,58,150,2,3,6,0,10,6,37,50,51.8,27,0,1,0,0,12,2,23,0,1,0,0,10,2,36,35,27,26,30,128
El Cortez,220,61,17,29,0,112,23,246,354,248,63,18,27,0,105,23,236,345,85.8,112,5,9,1,0,112,7,109,5,9,1,0,105,7,236,229,155,151,114,218
El Montevideo,303,9,1,9,0,6,9,64,87,298,8,1,7,0,4,8,50,68,37.7,53,2,0,0,0,6,3,41,2,0,0,0,4,3,50,47,42,40,37,273
El Presidio,403,29,39,24,1,168,27,445,526,402,27,36,20,1,144,24,388,462,80.2,238,8,14,1,0,168,17,209,7,12,1,0,144,15,388,373,287,278,121,246
El Rio Acres,762,164,310,19,0,639,91,1383,1794,791,164,303,17,0,599,88,1316,1723,89.2,570,17,95,1,0,634,66,552,16,89,1,0,593,64,1315,1252,872,841,656,603
Elvira,1837,39,115,12,6,1151,124,2964,3080,1847,40,117,12,6,1087,123,2849,2972,74,1633,12,59,5,4,1141,110,1587,12,58,5,4,1074,109,2849,2740,1907,1846,1009,320
Enchanted Hills,742,66,113,11,0,537,79,1200,1352,762,66,112,10,0,495,76,1123,1278,84.1,547,12,44,4,0,531,62,519,11,42,4,0,487,60,1123,1064,714,683,500,348
Flowing Wells,6523,199,184,209,10,1803,310,4852,5454,6567,179,166,170,10,1496,269,4112,4638,72.3,2740,38,85,4,1,1796,188,2349,32,74,4,1,1489,162,4111,3949,2680,2588,2154,4386
Glenn Heights,536,9,4,20,0,17,14,85,126,529,8,3,15,0,13,11,66,98,33.3,61,0,2,0,0,16,6,48,0,1,0,0,12,5,66,61,53,49,59,515
Country Glenn,1042,113,36,39,5,142,70,420,629,1075,102,33,32,5,117,57,351,533,63.6,224,13,15,4,0,138,26,188,11,14,4,0,113,21,351,330,233,221,282,1027
Groves Lincoln Park,3680,390,60,242,9,611,302,1770,2566,3909,357,53,203,9,513,264,1517,2223,67.5,952,39,38,22,1,605,113,824,33,33,20,1,507,99,1517,1418,981,931,1407,3524
Harlan Heights,1209,74,22,38,4,117,40,401,556,1267,68,20,30,4,96,34,338,472,54.3,259,4,7,0,0,114,16,220,4,7,0,0,94,14,339,324,235,229,238,1104
Old Spanish Trail,2773,158,40,240,1,182,134,777,1277,2900,140,36,194,1,150,114,651,1074,52.6,522,17,9,4,0,175,50,439,14,8,4,0,143,43,651,608,395,376,859,2751
Hedrick Acres,2714,218,144,183,18,387,211,1140,1761,2563,187,124,151,16,310,177,924,1453,67.3,600,32,35,1,0,378,94,489,26,28,1,0,301,79,924,845,648,601,569,2734
Highland Vista Cinco Via,700,24,9,38,0,45,27,179,270,716,21,8,30,0,36,23,145,221,47.2,127,1,0,0,0,42,9,103,1,0,0,0,33,7,144,138,103,97,174,664
Houghton East,3792,88,21,152,8,146,140,621,990,3810,74,18,115,6,114,113,486,782,35.8,434,2,9,6,0,137,32,342,1,7,5,0,105,26,486,461,330,320,805,3727
Iron Horse,446,16,18,35,0,50,28,130,213,466,14,15,28,0,40,24,107,176,55.6,65,1,5,0,0,47,12,54,1,4,0,0,38,10,107,97,94,87,36,463
Ironwood Ridge,95,7,8,9,0,34,8,97,119,96,6,7,8,0,29,8,84,105,79.8,53,1,3,0,0,33,5,47,1,3,0,0,29,5,85,80,58,55,36,64
Jefferson Park,1681,65,42,217,2,169,87,499,871,1785,58,38,176,2,140,74,419,732,56.4,289,5,12,3,0,163,29,244,4,10,3,0,133,25,419,394,343,320,189,1763
Julia Keen,3447,204,161,92,2,1319,206,3763,4141,3495,196,151,80,2,1169,188,3404,3758,76.2,2158,43,98,11,1,1317,135,1971,40,90,10,1,1168,124,3404,3280,2372,2299,1313,1666
Keeling,2646,320,245,185,6,1133,228,2780,3497,2777,312,234,163,6,1005,212,2515,3195,82.1,1380,37,108,6,0,1127,122,1264,34,100,6,0,999,113,2516,2402,1629,1563,1223,1983
La Madera,847,37,17,30,2,76,54,225,341,878,32,14,24,2,62,45,182,280,50.6,124,2,7,0,0,69,23,101,1,5,0,0,55,19,181,163,127,118,163,840
Lakeside Park,3969,408,103,207,4,625,331,1976,2762,3979,360,88,164,4,502,275,1619,2292,67.9,1084,56,61,6,0,617,152,899,44,51,5,0,494,126,1619,1493,986,945,1414,3671
Las Vistas,1600,250,131,43,1,1040,190,2647,3020,1626,258,130,39,1,973,186,2538,2915,82.3,1364,14,70,2,0,1036,160,1328,14,67,2,0,969,158,2538,2380,1593,1504,1134,609
Limberlost,2422,187,150,208,12,621,199,1659,2190,2399,162,129,165,10,494,164,1344,1789,75.2,813,33,51,11,4,621,126,665,27,42,9,3,494,104,1344,1240,881,828,767,2140
Garden District,4551,444,192,267,12,819,356,2247,3213,4775,395,167,217,12,681,307,1905,2743,68.5,1122,37,91,13,0,812,171,964,30,77,12,0,674,148,1905,1757,1242,1158,1466,4394
Midvale Park,7464,546,702,178,26,5036,614,11553,12774,7268,518,663,155,25,4443,563,10369,11523,81.7,5674,123,246,24,8,5027,452,5156,110,224,22,7,4433,416,10368,9953,6493,6271,4565,3012
Miracle Manor,2279,129,180,110,24,649,167,2293,2678,2106,111,162,88,19,532,139,1901,2229,76.6,1419,27,70,7,5,647,118,1178,22,61,6,5,530,99,1901,1802,1260,1198,820,1245
Miramonte,2454,239,115,179,10,341,230,971,1594,2565,212,102,143,9,279,195,807,1344,65,480,20,28,9,1,332,100,403,16,24,8,1,269,86,807,721,578,534,536,2597
Mitman,975,65,23,45,2,110,55,346,496,961,56,20,33,1,86,44,275,397,58.4,196,7,11,1,0,109,23,157,6,9,0,0,84,18,274,256,196,185,204,928
Mortimore,703,117,41,39,2,302,68,879,1057,705,114,39,35,2,269,63,799,970,81.5,488,11,28,0,0,300,51,447,10,27,0,0,267,48,799,751,486,465,418,393
Mountain First Avenue,1028,46,45,87,2,111,53,380,570,1077,42,40,70,2,91,45,318,481,59.8,227,4,18,2,0,109,20,191,3,16,2,0,89,17,318,301,257,245,143,992
Mountain View,965,84,51,51,3,236,82,632,815,938,71,42,39,3,183,67,501,653,73.8,308,15,28,1,1,235,44,247,12,22,1,1,182,36,501,465,324,307,316,841
Myers,2631,551,140,174,18,1384,349,2852,3774,2799,544,134,149,18,1239,321,2586,3469,84.9,1157,47,45,6,3,1379,213,1065,44,40,5,3,1234,194,2585,2392,1626,1530,1561,2396
Naylor,581,85,47,46,0,273,82,636,811,604,81,44,39,0,237,74,563,724,83.9,278,2,20,0,0,273,63,249,2,18,0,0,237,57,563,506,364,335,306,478
North Dodge,1358,213,110,26,13,343,172,828,1234,1384,188,97,21,12,280,146,684,1039,75.6,357,13,25,1,9,341,83,296,11,21,1,8,277,71,685,613,460,423,444,1407
North University,1443,32,27,347,0,112,71,322,776,1573,29,25,286,0,94,62,273,657,53.9,188,2,7,2,0,105,18,161,2,6,2,0,87,15,273,258,245,233,95,1710
Oak Flower,1677,206,94,98,13,249,141,761,1234,1654,175,81,76,11,194,115,604,998,67.9,433,16,20,0,0,242,50,347,13,16,0,0,187,41,604,563,424,407,419,1717
Old Fort Lowell,1806,74,22,123,1,137,77,452,732,1876,64,21,99,1,113,64,372,607,49,297,6,3,1,0,124,21,246,5,3,1,0,100,18,373,354,276,264,323,1788
Palo Verde,3965,335,192,252,45,542,271,1490,2384,4129,299,168,201,39,442,230,1239,2008,63.1,748,33,65,3,4,535,102,629,28,55,3,3,434,88,1240,1152,852,807,1044,4112
